source_id,object_type,ra_deg,dec_deg,parallax_mas,distance_pc,phot_g_mean_mag,abs_mag_g,size_km,vx_au_d,vy_au_d,vz_au_d,speed_km_s,gm_km3_s2,mass_kg,density_g_cm3,mean_radius_km,albedo,rot_per_hr,H
10,sun,0.000000000,0.000000000,0.000000000,0.000000000000e+00,,,,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000,,,,,,,
199,planet,277.557739356,-28.510502730,448445301.899157405,2.229926360617e-06,,,4878.800000,2.230106068216e-02,4.980558639353e-03,3.493464109527e-04,39.569199242,22031.868550000,3.301001e+23,,2439.400000,0.106000,,
299,planet,299.153540220,-22.966657471,283301389.063438892,3.529809731276e-06,,,12103.680000,1.793761227141e-02,8.628942977631e-03,2.747939745298e-03,34.791847482,324858.592000000,4.867306e+24,5.204000,6051.840000,0.650000,,
399,planet,114.689236145,21.497587766,209707005.444979012,4.768557911921e-06,,,12742.020000,-1.613671883336e-02,-6.190775791531e-03,-2.683303179752e-03,30.284141101,,,,6371.010000,0.367000,,
499,planet,293.231057711,-23.370439685,145614944.553974271,6.867426987409e-06,,,6779.840000,1.357302177690e-02,5.834026893230e-03,2.309839697112e-03,25.890818006,42828.375662000,6.416909e+23,3.933000,3389.920000,0.150000,,
599,planet,111.665972795,22.162658788,39541561.887931734,2.528984572825e-05,,,139822.000000,-7.185897939174e-03,-2.113291670836e-03,-7.309329957256e-04,13.030566605,126686531.900000006,1.898125e+27,1.326200,69911.000000,0.520000,,
699,planet,2.727352616,-1.338143029,21678525.039463099,4.612859953247e-05,,,116464.000000,-5.043572829331e-04,5.134972996996e-03,2.142506928592e-03,9.673353518,37931206.233999997,5.683174e+26,0.687000,58232.000000,0.470000,,
799,planet,57.530397451,19.895562907,10584230.424417609,9.448018041000e-05,,,50724.000000,-3.431426440860e-03,1.632893383719e-03,7.636734427564e-04,6.711316404,5793950.610300000,8.680986e+25,1.271000,25362.000000,0.510000,,
899,planet,1.515900987,-0.805409196,6902069.093052316,1.448840900487e-04,,,49248.000000,-8.628175005847e-05,2.921176166049e-03,1.197753991793e-03,5.468589087,6835099.970000000,1.024092e+26,1.638000,24624.000000,0.410000,,
999,dwarf_planet,306.280867347,-23.258778793,5821759.103290613,1.717693882996e-04,,,2376.600000,2.717091756690e-03,1.289672227862e-03,-4.068332429967e-04,5.255008684,,,,1188.300000,,,
301,moon,114.831048063,21.461577590,209996188.240390778,4.761991197932e-06,,,,-1.569220355854e-02,-6.494127051312e-03,-2.830758124370e-03,29.810846414,,7.349000e+22,,,0.120000,,
401,moon,293.228980772,-23.370283210,145610867.423530132,6.867619276598e-06,,,26.200000,1.453129633408e-02,5.495242774840e-03,1.576276904846e-03,27.037402068,,,,13.100000,0.060000,,
402,moon,293.237499808,-23.372016139,145610706.567650169,6.867626863244e-06,,,15.600000,1.353184151294e-02,6.517624927103e-03,2.683871760492e-03,26.417817917,,,,7.800000,0.060000,,
501,moon,111.640501180,22.166270903,39555265.904474378,2.528108400067e-05,,,3642.980000,-3.776602676839e-03,6.341890023307e-03,3.354073722995e-03,14.037845155,5959.915500000,8.929649e+22,,1821.490000,0.630000,,
502,moon,111.655834973,22.165235982,39508406.996692427,2.531106860582e-05,,,3121.600000,-1.507473691066e-02,-3.062984665508e-03,-1.361260066204e-03,26.738683198,3202.712100000,4.798574e+22,,1560.800000,0.670000,,
503,moon,111.723512407,22.151710910,39580733.541631006,2.526481726136e-05,,,5262.400000,-1.427574995468e-03,-4.421115786940e-03,-1.745505474924e-03,8.593160193,9887.832800000,1.481479e+23,,2631.200000,0.430000,,
504,moon,111.531438132,22.182925670,39578913.282757707,2.526597920604e-05,,,4820.600000,-6.922785167144e-03,2.195209656682e-03,1.303349698864e-03,12.775596286,7179.283400000,1.075661e+23,,2410.300000,0.170000,,
601,moon,2.724209144,-1.337318909,21681111.928393535,4.612309568359e-05,,,397.600000,3.193565105045e-03,-2.127497114387e-03,2.513275999721e-03,7.942398098,2.503489000,3.750939e+19,1.152000,198.800000,0.600000,,
602,moon,2.722914678,-1.337278527,21681714.119932540,4.612181465305e-05,,,504.600000,3.251031708420e-03,-1.135907881631e-03,2.281121257348e-03,7.152196993,7.210367000,1.080318e+20,1.606000,252.300000,1.040000,,
603,moon,2.721558414,-1.338329826,21674609.605450872,4.613693248475e-05,,,1072.600000,2.393968264792e-03,1.098749243967e-02,1.576400246397e-03,19.661080214,41.210000000,6.174430e+20,0.956000,536.300000,0.800000,,
604,moon,2.740539656,-1.339535281,21675744.519984975,4.613451681339e-05,,,1125.000000,-5.691640008716e-03,7.727321554702e-03,2.398364734739e-03,17.128162099,73.116000000,1.095486e+21,1.469000,562.500000,0.600000,,
605,moon,2.738977590,-1.337885477,21685252.698353197,4.611428854025e-05,,,1529.000000,-2.957702178015e-03,9.321012120292e-04,2.671329223058e-03,7.086887873,153.940000000,2.306459e+21,1.233000,764.500000,0.600000,,
606,moon,2.679993743,-1.334307371,21683317.377864793,4.611840442002e-05,,,5151.000000,2.649447866461e-03,4.529405552541e-03,1.903582885140e-03,9.664990893,8978.140000000,1.345181e+23,1.880000,2575.500000,0.200000,,
608,moon,2.751984575,-1.309693618,21732493.843045119,4.601404731653e-05,,,1469.000000,-8.074870077219e-04,3.344782812306e-03,1.872217029752e-03,6.782539652,120.520000000,1.805732e+21,1.088000,734.500000,0.600000,,
701,moon,57.527415935,19.897792222,10584023.471362974,9.448202781349e-05,,,1162.200000,-1.176320318246e-03,1.749112995191e-03,-1.476989545159e-03,4.456483289,83.430000000,1.250019e+21,,581.100000,0.340000,,
702,moon,57.530712352,19.900758792,10584185.793776594,9.448057880730e-05,,,1169.400000,-8.478851460969e-04,9.422470675364e-04,1.168530367708e-03,2.985044632,85.400000000,1.279535e+21,,584.700000,0.180000,,
703,moon,57.538732793,19.897930690,10584702.363197261,9.447596783420e-05,,,1577.800000,-3.218760393965e-03,1.029346794581e-03,2.768107185177e-03,7.563591431,222.800000000,3.338178e+21,,788.900000,0.270000,,
704,moon,57.528113251,19.906714513,10583948.127068931,9.448270040576e-05,,,1522.800000,-1.653123732584e-03,1.287286446655e-03,5.737212752012e-04,3.761320715,205.340000000,3.076577e+21,,761.400000,0.240000,,
705,moon,57.530491148,19.898098330,10584185.100208690,9.448058499849e-05,,,480.000000,2.209783015112e-04,4.331067695014e-04,1.142553065998e-03,2.149964946,4.300000000,6.442623e+19,,240.000000,0.270000,,
801,moon,1.516529859,-0.801341798,6902301.860196055,1.448792041053e-04,,,2705.200000,1.795246988535e-03,4.492628025601e-03,1.844569599675e-03,8.965043994,1428.495000000,2.140292e+22,,1352.600000,0.700000,,
901,moon,306.281064455,-23.258883043,5821755.579263840,1.717694922751e-04,,,,2.676274502294e-03,1.235224724544e-03,-5.162693883865e-04,5.181298709,106.100000000,1.589680e+21,,,,,
902,moon,306.280600314,-23.259169797,5821733.244559369,1.717701512577e-04,,,36.000000,2.657744529420e-03,1.238878451186e-03,-3.764507517285e-04,5.118832142,0.001496000,2.241434e+16,,18.000000,,,
904,moon,306.281269341,-23.258364333,5821788.464596529,1.717685220068e-04,,,12.000000,2.761367960142e-03,1.322295770097e-03,-4.618174581310e-04,5.361059696,0.000060380,9.046642e+14,,6.000000,,,
20000001,asteroid,30.133251535,3.474461653,71652003.323242381,1.395634390693e-05,,,939.400000,-5.252883535138e-03,7.157626311142e-03,4.445595733732e-03,17.191868629,,,,,0.090000,9.074170,3.350000
20020000,asteroid,134.996411571,26.861568731,4662508.675660409,2.144768127125e-04,,,900.000000,-1.908759405048e-03,-1.697413388147e-03,-3.317379853837e-05,4.423075940,,,,,0.070000,6.343600,3.790000
20000004,asteroid,306.785542153,-21.692842173,93294309.915182650,1.071876731720e-05,,,522.770000,1.021329233264e-02,6.074047870649e-03,1.083610240225e-03,20.660249766,,,,,0.422800,5.342128,3.250000
20000002,asteroid,333.097926582,1.468777146,62670750.869538255,1.595640687442e-05,,,513.000000,2.753614115694e-03,7.890269338100e-03,-1.773721385471e-03,14.792036351,,,,,0.155000,7.813221,4.110000
