source_id,object_type,ra_deg,dec_deg,parallax_mas,distance_pc,phot_g_mean_mag,abs_mag_g,size_km,vx_au_d,vy_au_d,vz_au_d,speed_km_s,gm_km3_s2,mass_kg,density_g_cm3,mean_radius_km,albedo,rot_per_hr,H
10,sun,0.000000000,0.000000000,0.000000000,0.000000000000e+00,,,,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000,,,,,,,
199,planet,278.292322882,-28.526947012,448879971.589725077,2.227767027472e-06,,,4878.800000,2.226249272778e-02,5.257622921244e-03,5.013523539955e-04,39.616418624,22031.868550000,3.301001e+23,,2439.400000,0.106000,,
299,planet,299.539542462,-22.912518282,283298331.153035462,3.529847831895e-06,,,12103.680000,1.788032161475e-02,8.730839281771e-03,2.797414768511e-03,34.791469256,324858.592000000,4.867306e+24,5.204000,6051.840000,0.650000,,
399,planet,114.934716162,21.458923066,209704340.446747273,4.768618512472e-06,,,12742.020000,-1.610975514527e-02,-6.249762965186e-03,-2.708905201752e-03,30.284259883,,,,6371.010000,0.367000,,
499,planet,293.379088700,-23.350891158,145636496.051202267,6.866410735729e-06,,,6779.840000,1.356084011619e-02,5.862305606940e-03,2.323139056669e-03,25.894397888,42828.375662000,6.416909e+23,3.933000,3389.920000,0.150000,,
599,planet,111.686086574,22.160317721,39540937.432118475,2.529024512170e-05,,,139822.000000,-7.184718941235e-03,-2.115420964482e-03,-7.318618904321e-04,13.029809656,126686531.900000006,1.898125e+27,1.326200,69911.000000,0.520000,,
699,planet,2.734410938,-1.335218281,21678685.351084650,4.612825841628e-05,,,116464.000000,-5.051112536256e-04,5.134874141709e-03,2.142528768049e-03,9.673328641,37931206.233999997,5.683174e+26,0.687000,58232.000000,0.470000,,
799,planet,57.533079073,19.896148677,10584252.275037637,9.447998536075e-05,,,50724.000000,-3.431505105335e-03,1.632738280116e-03,7.636485083118e-04,6.711315349,5793950.610300000,8.680986e+25,1.271000,25362.000000,0.510000,,
899,planet,1.517175220,-0.804887089,6902070.449766212,1.448840615694e-04,,,49248.000000,-8.639990417904e-05,2.921197732961e-03,1.197873605812e-03,5.468707762,6835099.970000000,1.024092e+26,1.638000,24624.000000,0.410000,,
999,dwarf_planet,306.282050021,-23.258834043,5821733.584018762,1.717701412420e-04,,,2376.600000,2.719014804834e-03,1.291245776945e-03,-4.087167026966e-04,5.259585221,,,,1188.300000,,,
301,moon,115.072693096,21.423118863,210014734.331451297,4.761570673521e-06,,,,-1.564885427265e-02,-6.533477942442e-03,-2.845213905130e-03,29.772409937,,7.349000e+22,,,0.120000,,
401,moon,293.378037218,-23.350146038,145642183.807583064,6.866142582160e-06,,,26.200000,1.278722370191e-02,4.910197473275e-03,2.261122157531e-03,24.037697634,,,,13.100000,0.060000,,
402,moon,293.383697597,-23.350910124,145648506.552006841,6.865844516181e-06,,,15.600000,1.289830684568e-02,5.985645150229e-03,2.716952868859e-03,25.065856381,,,,7.800000,0.060000,,
501,moon,111.653224131,22.165719725,39538630.251124911,2.529172087269e-05,,,3642.980000,-1.158141250276e-02,5.990706111959e-03,3.064552712094e-03,23.191774216,5959.915500000,8.929649e+22,,1821.490000,0.630000,,
502,moon,111.696891418,22.159410752,39507701.250869863,2.531152075010e-05,,,3121.600000,-1.397351126326e-02,-5.781239475632e-03,-2.615835520796e-03,26.572325852,3202.712100000,4.798574e+22,,1560.800000,0.670000,,
503,moon,111.730444988,22.151249624,39586768.027463056,2.526096596990e-05,,,5262.400000,-1.039307299446e-03,-3.350312078078e-03,-1.225541700239e-03,6.433638626,9887.832800000,1.481479e+23,,2631.200000,0.430000,,
504,moon,111.547155701,22.181539719,39570607.492246456,2.527128248400e-05,,,4820.600000,-7.333161173627e-03,2.200379822057e-03,1.299731916395e-03,13.445988931,7179.283400000,1.075661e+23,,2410.300000,0.170000,,
601,moon,2.727246059,-1.334727219,21677760.046196923,4.613022737907e-05,,,397.600000,6.986116094043e-03,8.153429070730e-03,1.122588729562e-03,18.692071304,2.503489000,3.750939e+19,1.152000,198.800000,0.600000,,
602,moon,2.724900127,-1.334538323,21678801.670212746,4.612801091188e-05,,,504.600000,6.797135972211e-03,5.216195501040e-03,1.507565482995e-03,15.062928802,7.210367000,1.080318e+20,1.606000,252.300000,1.040000,,
603,moon,2.737288535,-1.335965660,21674341.292685237,4.613750362681e-05,,,1072.600000,-2.422573234286e-03,1.139905793758e-02,1.893404467356e-03,20.442366037,41.210000000,6.174430e+20,0.956000,536.300000,0.800000,,
604,moon,2.749541711,-1.336243997,21678781.002793118,4.612805488792e-05,,,1125.000000,-6.274484828586e-03,4.794497915241e-03,2.663156054830e-03,14.429256368,73.116000000,1.095486e+21,1.469000,562.500000,0.600000,,
605,moon,2.739964392,-1.334343568,21686437.781725712,4.611176856545e-05,,,1529.000000,-1.526686676685e-03,3.692670453843e-04,2.597044573411e-03,5.255127208,153.940000000,2.306459e+21,1.233000,764.500000,0.600000,,
606,moon,2.686214336,-1.331625022,21681842.228823360,4.612154213864e-05,,,5151.000000,2.696742795214e-03,4.813698531024e-03,1.880253606415e-03,10.092992782,8978.140000000,1.345181e+23,1.880000,2575.500000,0.200000,,
608,moon,2.756621733,-1.307148691,21732844.373705860,4.601330515254e-05,,,1469.000000,-7.769858572232e-04,3.341116590227e-03,1.865339252865e-03,6.760725399,120.520000000,1.805732e+21,1.088000,734.500000,0.600000,,
701,moon,57.529324432,19.896412975,10584022.951456891,9.448203245462e-05,,,1162.200000,-2.678246442005e-03,2.302901432583e-03,-2.254578809675e-03,7.255503435,83.430000000,1.250019e+21,,581.100000,0.340000,,
702,moon,57.531597959,19.901105984,10584102.072160456,9.448132616090e-05,,,1169.400000,-8.118930941090e-04,1.183826223348e-03,2.707537646866e-04,2.529303782,85.400000000,1.279535e+21,,584.700000,0.180000,,
703,moon,57.540946449,19.899828579,10584679.611554351,9.447617090917e-05,,,1577.800000,-2.887911777976e-03,9.772036328974e-04,2.686819350277e-03,7.036185466,222.800000000,3.338178e+21,,788.900000,0.270000,,
704,moon,57.529611431,19.906967604,10583902.685270337,9.448310606556e-05,,,1522.800000,-1.672434971401e-03,1.342060411368e-03,3.892757444041e-04,3.773503713,205.340000000,3.076577e+21,,761.400000,0.240000,,
705,moon,57.530909315,19.897511181,10584122.624439362,9.448114269679e-05,,,480.000000,-9.628385964845e-04,1.619901163094e-03,-2.201796000453e-03,5.017952970,4.300000000,6.442623e+19,,240.000000,0.270000,,
801,moon,1.518442346,-0.800648483,6902196.865197611,1.448814079822e-04,,,2705.200000,1.993630793255e-03,4.368728537605e-03,1.276095580494e-03,8.603227756,1428.495000000,2.140292e+22,,1352.600000,0.700000,,
901,moon,306.282216367,-23.258969515,5821727.874334256,1.717703097063e-04,,,,2.660254890634e-03,1.222679818789e-03,-5.006502238210e-04,5.142908521,106.100000000,1.589680e+21,,,,,
902,moon,306.281751768,-23.259213024,5821708.026229795,1.717708953274e-04,,,36.000000,2.659231481007e-03,1.240898924915e-03,-3.726137410071e-04,5.121772014,0.001496000,2.241434e+16,,18.000000,,,
904,moon,306.282473141,-23.258438263,5821762.119628926,1.717692993034e-04,,,12.000000,2.760117347645e-03,1.320777465752e-03,-4.644046379959e-04,5.358676406,0.000060380,9.046642e+14,,6.000000,,,
9000000000,black_hole,266.416830000,-29.007810000,0.122294118634,8.178000000000e+03,,,24000000.000000,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.0,,,,12000000.000000,,
10001,spaceship,111.677200,22.159410752,39507701.250869863,2.531152075010e-05,,,0.3,-1.397351126326e-02,-5.781239475632e-03,-2.615835520796e-03,,,,,,0.150000,,,
