source_id,object_type,ra_deg,dec_deg,parallax_mas,distance_pc,phot_g_mean_mag,abs_mag_g,size_km,vx_au_d,vy_au_d,vz_au_d,speed_km_s,gm_km3_s2,mass_kg,density_g_cm3,mean_radius_km,albedo,rot_per_hr,H
10,sun,0.000000000,0.000000000,0.000000000,0.000000000000e+00,,,,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000,,,,,,,
199,planet,274.906602017,-28.418236909,446989630.183625758,2.237188365173e-06,,,,2.241079156579e-02,3.975591744225e-03,-1.988830888109e-04,39.410652942,22031.868550000,3.301001e+23,,,0.106000,,
299,planet,297.750515963,-23.155210373,283313100.693231344,3.529663815592e-06,,,,1.813949084238e-02,8.256393853378e-03,2.567531061751e-03,34.793295913,324858.592000000,4.867306e+24,5.204000,,0.650000,,
399,planet,113.797537933,21.634843233,209716262.368351579,4.768347426694e-06,,,,-1.623226471244e-02,-5.975998132429e-03,-2.590088379740e-03,30.283547807,,,,,0.367000,,
499,planet,292.694009642,-23.440143417,145536374.886500329,6.871134455423e-06,,,,1.361655794769e-02,5.731275570749e-03,2.261535698862e-03,25.877762922,42828.375662000,6.416909e+23,3.933000,,0.150000,,
599,planet,111.592988465,22.171132040,39543831.646384470,2.528839412787e-05,,,,-7.188725274463e-03,-2.104704821316e-03,-7.271321807892e-04,13.030437851,126686531.900000006,1.898125e+27,1.326200,,0.520000,,
699,planet,2.701745166,-1.348753382,21677943.543626662,4.612983690023e-05,,,,-5.015798612412e-04,5.135322182856e-03,2.142424729647e-03,9.673421717,37931206.233999997,5.683174e+26,,,0.470000,,
799,planet,57.520668870,19.893437662,10584151.155631432,9.448088800848e-05,,,,-3.430994926042e-03,1.633420581878e-03,7.637725084872e-04,6.711073412,5793950.610300000,8.680986e+25,1.271000,,0.510000,,
899,planet,1.511278090,-0.807303014,6902064.202247195,1.448841927136e-04,,,,-8.569884415376e-05,2.921257057379e-03,1.197434428792e-03,5.468481346,6835099.970000000,1.024092e+26,1.638000,,0.410000,,
999,dwarf_planet,306.276586174,-23.258581514,5821851.621751912,1.717666586115e-04,,,,2.709067124578e-03,1.282183742187e-03,-4.053622419105e-04,5.236721970,,,,,,,
301,moon,113.950859160,21.598818201,209924101.292220473,4.763626443292e-06,,,,-1.585579235586e-02,-6.344608835986e-03,-2.775055324583e-03,29.957763289,,7.349000e+22,,,0.120000,,
401,moon,292.696683008,-23.440702521,145537638.870511174,6.871074780111e-06,,,26.200000,1.309983591675e-02,6.554084228461e-03,2.998771427772e-03,25.888282148,,,,13.100000,0.060000,,
402,moon,292.691974539,-23.438660297,145551290.041254133,6.870430346008e-06,,,15.600000,1.305448296755e-02,5.189515556735e-03,2.261354970180e-03,24.636892186,,,,7.800000,0.060000,,
501,moon,111.621967474,22.166829799,39533724.834473617,2.529485911553e-05,,,3642.980000,-8.619519862360e-03,-1.106810445888e-02,-5.023498017091e-03,25.800135647,,,,1821.490000,0.630000,,
502,moon,111.541364586,22.179586244,39547533.143606156,2.528602723130e-05,,,3121.600000,-9.101567353868e-03,4.945715497210e-03,2.548953101257e-03,18.470334938,,,,1560.800000,0.670000,,
503,moon,111.676321563,22.157397990,39548357.262413822,2.528550031458e-05,,,5262.400000,-4.549118102800e-03,-7.258220861677e-03,-3.156834835753e-03,15.806773947,,,,2631.200000,0.430000,,
504,moon,111.482501684,22.186740788,39606349.283734299,2.524847702665e-05,,,4820.600000,-5.474658466280e-03,1.909180673059e-03,1.189917382677e-03,10.248229528,7179.283400000,1.075661e+23,,2410.300000,0.170000,,
601,moon,2.694715327,-1.347871303,21679002.591586713,4.612758339667e-05,,,397.600000,7.136262645467e-03,2.457479838766e-03,1.681110290748e-03,13.388493043,2.503489000,3.750939e+19,1.152000,198.800000,0.600000,,
602,moon,2.700414615,-1.349284023,21674362.921969090,4.613745758527e-05,,,504.600000,1.590097861455e-04,1.238412443389e-02,1.551381336155e-03,21.611925090,7.210367000,1.080318e+20,1.606000,252.300000,1.040000,,
603,moon,2.703100705,-1.348239293,21682398.303700902,4.612035928836e-05,,,1072.600000,-9.152192320130e-04,-1.393770621921e-03,2.573234024960e-03,5.309041995,41.210000000,6.174430e+20,,536.300000,0.800000,,
604,moon,2.690463196,-1.348643706,21674088.545598850,4.613804164803e-05,,,1125.000000,3.567731773970e-03,9.199970037901e-03,1.495143212735e-03,17.280217853,73.116000000,1.095486e+21,1.469000,562.500000,0.600000,,
605,moon,2.722657959,-1.350490126,21676739.643547639,4.613239889596e-05,,,1529.000000,-5.358776890858e-03,5.667362525150e-03,2.501501252921e-03,14.182417411,153.940000000,2.306459e+21,1.233000,764.500000,0.600000,,
606,moon,2.660514161,-1.344310420,21688259.231146805,4.610789595155e-05,,,5151.000000,2.276546897165e-03,3.572055747069e-03,2.001095284385e-03,8.111395812,8978.140000000,1.345181e+23,1.880000,2575.500000,0.200000,,
608,moon,2.735094760,-1.318998376,21731088.227276217,4.601702360882e-05,,,1469.000000,-9.174592939126e-04,3.362602036528e-03,1.897867324565e-03,6.871664314,120.520000000,1.805732e+21,1.088000,734.500000,0.600000,,
701,moon,57.524101803,19.895064953,10584337.971433043,9.447922040084e-05,,,1162.200000,-2.588851840193e-03,6.372297294327e-04,3.664544247579e-03,7.846594865,83.430000000,1.250019e+21,,581.100000,0.340000,,
702,moon,57.525743922,19.894844206,10584440.651137400,9.447830385752e-05,,,1169.400000,-3.162987049389e-03,8.573201608834e-04,3.337458113468e-03,8.098723766,85.400000000,1.279535e+21,,584.700000,0.180000,,
